codigo,nombre,descripcion,marca,modelo,ubicacion,medida,stock,unidaddemedida,precioalpublico
COD044,ALICATE A PRESION 10 RECTO MANGO VINIL,,TRUPER                   ,17437,,0,22,UNIDAD,S/ 34.00
COD045,ALICATE A PRESION 10 Y 5,,TRUPER                   ,17447,,0,0,UNIDAD,S/ 42.00
COD046,ALICATE A PRESION 12,,TRUPER                   ,17429,,0,10,UNIDAD,S/ 41.00
COD047,ALICATE A PRESION 12 RECTO,,TRUPER                   ,17431,,0,11,UNIDAD,S/ 42.00
COD048,ALICATE A PRESION 4,,TRUPER                   ,17419,,0,9,UNIDAD,S/ 19.00
COD049,ALICATE A PRESION 5,,TRUPER                   ,17420,,0,18,UNIDAD,S/ 20.00
COD050,ALICATE A PRESION 7,,TRUPER                   ,17421,,0,3,UNIDAD,S/ 26.00
COD051,ALICATE A PRESION 8 TIPO PATO,,TRUPER                   ,17425,,0,6,UNIDAD,S/ 32.00
COD052,ALICATE A PRESION 9 PUNTA LARGA,,TRUPER                   ,17433,,0,5,UNIDAD,S/ 28.50
COD053,ALICATE A PRESION 9 SOLDADORA,,TRUPER                   ,17426,,0,7,UNIDAD,S/ 44.00
COD054,ALICATE A PRESION CON CADENA 5 1/4,,TRUPER                   ,17438,,0,5,UNIDAD,S/ 67.00
COD055,ALICATE A PRESION PARA FILTRO DE ACEITE 4 5/8,,TRUPER                   ,17446,,0,4,UNIDAD,S/ 80.00
COD056,ALICATE A PRESION TIPO C 11 CON MORDAZA,,TRUPER                   ,17427,,0,5,UNIDAD,S/ 48.00
COD057,ALICATE A PRESION TIPO C 18 CON MORDAZA,,TRUPER                   ,17415,,0,10,UNIDAD,S/ 93.00
COD058,ALICATE A PRESION TIPO C 6 CON MORDAZA,,TRUPER                   ,17413,,0,4,UNIDAD,S/ 29.00
COD059,ALICATE A PRESION TIPO C 9 CON MORDAZA,,TRUPER                   ,17414,,0,9,UNIDAD,S/ 44.00
COD060,ALICATE CORTE 4,,TRUPER                   ,17367,,0,7,UNIDAD,S/ 16.00
COD061,ALICATE CORTE 5,PARA ELECTRICISTA 1000V,TRUPER                   ,17311,,0,2,UNIDAD,S/ 17.00
COD062,ALICATE CORTE 6,,TRUPER                   ,17312,,0,7,UNIDAD,S/ 19.00
COD063,ALICATE CORTE 6 1000V,PARA ELECTRICISTA 1000V,TRUPER                   ,17331,,0,27,UNIDAD,S/ 22.00
COD064,ALICATE CORTE 7,,TRUPER                   ,17313,,0,10,UNIDAD,S/ 21.00
COD065,ALICATE CORTE 7 1000V,PARA ELECTRICISTA,TRUPER                   ,12349,,0,37,UNIDAD,S/ 25.00
COD066,ALICATE DE HACENDADO 11&QUOT; MANGO DE VINIL,,TRUPER                   ,17354,,0,4,UNIDAD,S/ 55.00
COD067,ALICATE MECANICO 10,,TRUPER                   ,17302,,0,4,UNIDAD,S/ 22.00
COD068,ALICATE MECANICO 8,,TRUPER                   ,17301,,0,8,UNIDAD,S/ 18.00
COD069,ALICATE MINI 3PCS,,TRUPER                   ,18215,,0,6,UNIDAD,S/ 36.00
COD070,ALICATE MINI TIPO TENAZA 4,,TRUPER                   ,17368,,0,5,UNIDAD,S/ 15.00
COD071,ALICATE MULTIUSO 13 EN 1 MULTIFUNCION,,TRUPER                   ,17115,,0,0,UNIDAD,S/ 92.00
COD072,ALICATE PARA ANILLOS DE RETENCION 6 - 4PCS,,TRUPER                   ,17355,,0,6,UNIDAD,S/ 21.00
COD073,ALICATE PARA ELECTRICISTA 8,,TRUPER                   ,12350,,0,32,UNIDAD,S/ 40.00
COD074,ALICATE PARA NIVELADOR DE ARCO Y CUÑA,,TRUPER                   ,100516,,0,4,UNIDAD,S/ 24.00
COD075,ALICATE PELACABLE 10,,TRUPER                   ,17358,,0,3,UNIDAD,S/ 38.00
COD076,ALICATE PELACABLE 6,,TRUPER                   ,17356,,0,5,UNIDAD,S/ 21.00
COD077,ALICATE PELACABLE 8,,TRUPER                   ,17357,,0,8,UNIDAD,S/ 25.00
COD078,ALICATE PELACABLE 9,,TRUPER                   ,17353,,0,8,UNIDAD,S/ 25.00
COD079,ALICATE PELACABLE AUTOMATICO DE PRESICION,,TRUPER                   ,17376,,0,1,UNIDAD,S/ 100.00
COD080,ALICATE PICO DE LORO 10 CON FORRO,,TRUPER                   ,17351,,0,9,UNIDAD,S/ 27.50
COD081,ALICATE PICO DE LORO 12 CON FORRO,,TRUPER                   ,17352,,0,7,UNIDAD,S/ 29.00
COD082,ALICATE PINZA C 11 CON MORDAZA FIJA,,TRUPER                   ,17417,,0,6,UNIDAD,S/ 48.00
COD083,ALICATE PONCHADOR PARA RJ45,,TRUPER                   ,18342,,0,2,UNIDAD,S/ 65.00
COD084,ALICATE PUNTA 5 CURVO,,TRUPER                   ,17365,,0,9,UNIDAD,S/ 16.00
COD085,ALICATE PUNTA 6 1000V,,TRUPER                   ,17334,,0,23,UNIDAD,S/ 24.00
COD086,ALICATE PUNTA 7 1000V,,TRUPER                   ,12348,,0,15,UNIDAD,S/ 25.00
COD087,ALICATE PUNTA 8 1000V,,TRUPER                   ,17336,,0,11,UNIDAD,S/ 29.00
COD088,ALICATE SACABOCADO DE 9,,TRUPER                   ,17340,,0,1,UNIDAD,S/ 45.00
COD089,ALICATE SACASEGURO CURVO EXTERIOR,EXTERIOR CURVO,TRUPER                   ,17364,,0,14,UNIDAD,S/ 26.00
COD090,ALICATE SACASEGURO CURVO INTERIOR,,TRUPER                   ,17362,,0,12,UNIDAD,S/ 26.00
COD091,ALICATE SACASEGURO RECTO EXTERIOR,,TRUPER                   ,17363,,0,12,UNIDAD,S/ 26.00
COD092,ALICATE SACASEGURO RECTO INTERIOR,,TRUPER                   ,17361,,0,14,UNIDAD,S/ 26.00
COD093,ALICATE UNIVERSAL 7,PARA ELECTRICISTA,TRUPER                   ,17338,,0,10,UNIDAD,S/ 35.00
COD094,ALICATE UNIVERSAL 8 - 1000V,PARA ELECTRICISTA ,TRUPER                   ,17330,,0,18,UNIDAD,S/ 30.00
COD095,ALICATE UNIVERSAL 8 NEGRO,,TRUPER                   ,17308,,0,17,UNIDAD,S/ 28.00
COD096,ALICATE UNIVERSAL 9 ALTA PALANCA 1000V,,TRUPER                   ,12351,,0,17,UNIDAD,S/ 42.00
COD097,AMOLADORA 4 1/2 - 1010W,,TRUPER                   ,18245,,0,0,UNIDAD,S/ 200.00
COD098,AMOLADORA 4 1/2 800W,,TRUPER                   ,11025,,0,6,UNIDAD,S/ 110.00
COD099,AMOLADORA 4 1/2 850W,,TRUPER                   ,16554,,0,0,UNIDAD,S/ 100.00
COD100,AMOLADORA 7 2100W,,TRUPER                   ,11022,,0,0,UNIDAD,S/ 350.00
COD101,ANCLA DE CONEXION PARA ARNES 90CM,,TRUPER                   ,14470,,0,8,UNIDAD,S/ 23.00
COD102,ANTORCHA PARA SOLDAR,,TRUPER                   ,12108,,0,2,UNIDAD,S/ 220.00
COD103,ANZUELO #12,,TRUPER                   ,15459,,0,100,UNIDAD,S/ 0.40
COD104,ANZUELO #13,,TRUPER                   ,15462,,0,100,UNIDAD,S/ 0.40
COD105,ANZUELO #14,,TRUPER                   ,15463,,0,100,UNIDAD,S/ 0.30
COD106,ANZUELO #15,,TRUPER                   ,15465,,0,100,UNIDAD,S/ 0.30
COD107,ANZUELO #16,,TRUPER                   ,15466,,0,100,PAQUETE,S/ 0.20
COD108,ANZUELO #9,,TRUPER                   ,15456,,0,100,UNIDAD,S/ 0.50
COD109,APLICADOR DE SILICONA,,TRUPER                   ,17550,,0,21,UNIDAD,S/ 11.00
COD110,APLICADOR PARA SALCHICHA 600ML,,TRUPER                   ,101931,,0,23,UNIDAD,S/ 42.00
COD111,APLICADOR PARA SILICONA TUBO REFORZADA,,TRUPER                   ,17558,,0,17,UNIDAD,S/ 30.00
COD112,ARCO DE SIERRA 12,,TRUPER                   ,10234,,0,26,UNIDAD,S/ 24.00
COD113,ARCO DE SIERRA 12,,TRUPER                   ,10230,,0,0,UNIDAD,S/ 41.00
COD114,ARCO DE SIERRA 12 EXPERT,,TRUPER                   ,10232,,0,10,UNIDAD,S/ 49.00
COD115,ARCO DE SIERRA DE CALAR 6 1/2,,TRUPER                   ,10221,,0,4,UNIDAD,S/ 30.00
COD116,ARCO MONTARAZ 21,,TRUPER                   ,10254,,0,8,UNIDAD,S/ 27.00
COD117,ARCO MONTARAZ 24,,TRUPER                   ,10258,,0,0,UNIDAD,S/ 28.00
COD118,ARNES CUERPO COMPLETO 3 ANILLOS,ANILLOS A LA ALTURA DE LA ESPALDA,TRUPER                   ,14433,,0,7,UNIDAD,S/ 96.00
COD119,ARNES CUERPO COMPLETO 5 ANILLOS,,TRUPER                   ,14434,,0,4,UNIDAD,S/ 111.00
COD120,ARNES DE SEGURIDAD 3 ANILLOS,"1 ESPALDA, 2 CINTURA",TRUPER                   ,14439,,0,7,UNIDAD,S/ 92.00
COD121,ARNES DE SEGURIDAD CUERPO COMPLETO,TIENE NORMA ANSI,TRUPER                   ,14432,,0,16,UNIDAD,S/ 85.00
COD122,ASPERSOR CON ESTACA 1 VIA PVC,,TRUPER                   ,10336,,0,2,UNIDAD,S/ 16.00
COD123,ASPERSOR CON ESTACA 2 VIAS PVC,,TRUPER                   ,10339,,0,18,UNIDAD,S/ 17.00
COD124,ASPERSOR CON ESTACA DOBLE CHORRO METAL 1 VIA,,TRUPER                   ,10327,,0,27,UNIDAD,S/ 27.00
COD125,ASPERSOR CON ESTACA DOBLE CHORRO METAL 2 VIAS,,TRUPER                   ,10330,,0,12,UNIDAD,S/ 29.00
COD126,ASPERSOR DE BRONCE 1,,TRUPER                   ,10317,,0,9,UNIDAD,S/ 105.00
COD127,ASPERSOR DE BRONCE 3/4,,TRUPER                   ,10316,,0,7,UNIDAD,S/ 60.00
COD128,ASPERSOR GIRATORIO CON ASPA,,TRUPER                   ,10329,,0,3,UNIDAD,S/ 25.00
COD129,ATORNILLADOR 12V 3/8,,TRUPER                   ,11010,,0,1,UNIDAD,S/ 320.00
COD130,AUTOMATICO PARA COMPRENSORA,,TRUPER                   ,19327,,0,5,UNIDAD,S/ 36.00
COD131,AVELLANADOR 7 PCS 3/16 A 5/8,,TRUPER                   ,12868,,0,1,UNIDAD,S/ 60.00
COD132,AZADON 3 LANE FORJADO 2.1LB SIN MANGO,,TRUPER                   ,10609,,0,10,UNIDAD,S/ 27.00
COD133,AZADON AL-0,,TRUPER                   ,10600,,0,11,UNIDAD,S/ 22.00
COD134,AZADON CON MANGO 54CM,,TRUPER                   ,10553,,0,11,UNIDAD,S/ 27.00
COD135,AZADON DESHIERBADOR CON MANGO,,TRUPER                   ,15127,,0,0,UNIDAD,S/ 38.00
COD136,"AZADON TOMATERO, MANGO CORTO 16",,TRUPER                   ,10562,,0,14,UNIDAD,S/ 17.00
COD137,BALANZA DIGITAL 500GR,USA 2 PILAS AAA,TRUPER                   ,102316,,0,20,UNIDAD,S/ 34.00
COD138,BALANZA DIGITAL 500GR DE BOLSILLO,,TRUPER                   ,100786,,0,21,UNIDAD,S/ 26.00
COD139,BALANZA ROMANA 300KG DIGITAL,,TRUPER                   ,100788,,0,2,UNIDAD,S/ 200.00
COD140,BALON DE FUTBOL,,TRUPER                   ,62010,,0,1,UNIDAD,S/ 46.00
COD141,BANDOLA 2 100 KG,,TRUPER                   ,44037,,0,-1,UNIDAD,S/ 2.50
COD142,BANDOLA 3,,TRUPER                   ,44030,,0,-1,UNIDAD,S/ 3.50
COD143,BANDOLA 3 5/16 230KG,,TRUPER                   ,44039,,0,,UNIDAD,S/ 3.50
COD144,BARRETA 1 1/4X175CM,,TRUPER                   ,10765,,0,6,UNIDAD,S/ 165.00
COD145,BARRETA 1X150 CM,,TRUPER                   ,10756,,0,3,UNIDAD,S/ 95.00
COD146,BARRETA 1X175CM,,TRUPER                   ,10762,,0,6,UNIDAD,S/ 112.00
COD147,BASTIDOR TUBULAR PARA CARRETILLA,,TRUPER                   ,11880,,0,8,UNIDAD,S/ 38.00
COD148,BERBIQUI 12 MANGO MADERA,,TRUPER                   ,10970,,0,0,UNIDAD,S/ 96.00
COD149,BOLSA 2 CARBONES DE REPUESTO PARA ESMA-4580N-2,CARBON BOSCH CHICO,TRUPER                   ,102104,,0,41,BALDE 5L,S/ 13.00
COD150,BOMBA MANUAL ACEITERA,,TRUPER                   ,10067,,0,7,UNIDAD,S/ 140.00
COD151,BOMBA MANUAL ACEITERA,,TRUPER                   ,16853,,0,1,UNIDAD,S/ 115.00
COD152,BOMBA MANUAL CON PALANCA PARA ACEITES,,TRUPER                   ,16857,,0,1,UNIDAD,S/ 115.00
COD153,BOMBA MANUAL EXTRACTORA DE ACIDOS,,TRUPER                   ,16856,,0,4,UNIDAD,S/ 460.00
COD154,BOMBA PARA AGUA 1/2 HP PERIFERICA,,TRUPER                   ,15019,,0,0,UNIDAD,S/ 215.00
COD155,BOQUILLA PARA GRASERA,,TRUPER                   ,14926,,0,129,UNIDAD,S/ 8.00
COD156,BOQUILLA PARA PISTOLA DE PINTAR PUNTA-ABANICO,,TRUPER                   ,,,0,31,UNIDAD,S/ 6.00
COD157,BOTAS DE JEBE 40 (T25),,TRUPER                   ,17921,,0,6,PAR,S/ 31.00
COD158,BOTAS DE JEBE 41 (T26),,TRUPER                   ,17921,,0,1,PAR,S/ 31.00
COD159,BOTAS DE JEBE 42 (T27),,TRUPER                   ,17923,,0,7,UNIDAD,S/ 31.00
COD160,BROCA 9PCS METAL/MADERA/CONCRETO,,TRUPER                   ,11339,,0,4,UNIDAD,S/ 29.00
COD161,BROCA AVELLANADORA HSS 1/2,,TRUPER                   ,102380,,0,2,UNIDAD,S/ 11.00
COD162,BROCA AVELLANADORA HSS 3/4,,TRUPER                   ,102382,,0,7,UNIDAD,S/ 21.00
COD163,BROCA AVELLANADORA PARA MADERA 11/64,,TRUPER                   ,102376,,0,5,BALDE 5L,S/ 17.00
COD164,BROCA AVELLANADORA PARA MADERA 3/16,,TRUPER                   ,102377,,0,4,UNIDAD,S/ 18.00
COD165,BROCA AVELLANADORA PARA MADERA 9/64,,TRUPER                   ,102375,,0,10,UNIDAD,S/ 17.00
COD166,BROCA ESCALONADA 1/4-1 3/8,,TRUPER                   ,12126,,0,6,UNIDAD,S/ 96.00
COD167,BROCA ESCALONADA 1/4-3/4,,TRUPER                   ,12123,,0,4,UNIDAD,S/ 42.00
COD168,BROCA ESCALONADA 1/4-7/8,,TRUPER                   ,101457,,0,5,UNIDAD,S/ 54.00
COD169,BROCA ESCALONADA 1/8-1/2,,TRUPER                   ,12122,,0,4,UNIDAD,S/ 27.00
COD170,BROCA ESCALONADA 3/16-1/2,X,TRUPER                   ,12120,,0,-1,UNIDAD,S/ 24.00
COD171,BROCA ESCALONADA 3/16-7/8,X,TRUPER                   ,12125,,0,0,UNIDAD,S/ 55.00
COD172,BROCA ESCALONADA 3PCS 3/16-7/8,,TRUPER                   ,100988,,0,2,UNIDAD,S/ 96.00
COD173,BROCA ESCALONADA 7/16-1 1/8,X,TRUPER                   ,101458,,0,0,UNIDAD,S/ 97.00
COD174,BROCA GUIA 1/4 (SOLO BROCA) PARA SIERRA COPA BIMETAL,,TRUPER                   ,101580,,0,9,UNIDAD,S/ 10.00
COD175,BROCA GUIA 1/4 CON DIAMANTE (SOLO BROCA),PARA SIERRA COPA MAYOLICA,TRUPER                   ,101581,,0,6,UNIDAD,S/ 10.00
COD176,BROCA GUIA 3/8 PARA SIERRA COPA,,TRUPER                   ,101390,,0,4,UNIDAD,S/ 15.00
COD177,BROCA GUIA 7/16 PARA SIERRA COPA MAYOLICA,,TRUPER                   ,101391,,0,8,UNIDAD,S/ 21.00
COD178,BROCA HSS 1. REDUC 1/2,,TRUPER                   ,11176,,0,6,UNIDAD,S/ 96.00
COD179,BROCA HSS 1.5MM,,TRUPER                   ,14123,,0,73,UNIDAD,S/ 3.00
COD180,BROCA HSS 1/16,,TRUPER                   ,11110,,0,73,UNIDAD,S/ 2.50
COD181,BROCA HSS 1/2 (12.7MM),,TRUPER                   ,11166,,0,35,UNIDAD,S/ 31.00
COD182,BROCA HSS 1/4,,TRUPER                   ,11134,,0,173,UNIDAD,S/ 6.50
COD183,BROCA HSS 1/8,,TRUPER                   ,11118,,0,288,UNIDAD,S/ 2.50
COD184,BROCA HSS 10.5MM,,TRUPER                   ,14327,,0,18,UNIDAD,S/ 20.00
COD185,BROCA HSS 10MM,,TRUPER                   ,14321,,0,40,UNIDAD,S/ 16.00
COD186,BROCA HSS 10PCS ACERO ALTA VELOCIDAD,1/16 - 1/4,TRUPER                   ,11399,,0,6,UNIDAD,S/ 40.00
COD187,BROCA HSS 11MM,,TRUPER                   ,14329,,0,8,UNIDAD,S/ 23.50
COD188,BROCA HSS 12MM,,TRUPER                   ,14333,,0,4,UNIDAD,S/ 27.00
COD189,BROCA HSS 13PCS ESTUCHE PLASTICO,1/16 - 5/16,TRUPER                   ,11402,,0,9,JUEGO,S/ 54.00
COD190,BROCA HSS 1MM,,TRUPER                   ,14072,,0,108,UNIDAD,S/ 3.00
COD191,BROCA HSS 29PCS 1/16-1/2,,TRUPER                   ,50004,,0,2,JUEGO,S/ 310.00
COD192,BROCA HSS 2MM,,TRUPER                   ,14124,,0,240,UNIDAD,S/ 2.50
COD193,BROCA HSS 3.5MM,,TRUPER                   ,14130,,0,53,UNIDAD,S/ 3.00
COD194,BROCA HSS 3/16,,TRUPER                   ,11126,,0,148,UNIDAD,S/ 4.00
COD195,BROCA HSS 3/32 (2.5MM),,TRUPER                   ,11114,,0,811,UNIDAD,S/ 2.00
COD196,BROCA HSS 3/4 REDUCCION 1/2,,TRUPER                   ,11172,,0,5,UNIDAD,S/ 66.00
COD197,BROCA HSS 3/8 (9.5MM),,TRUPER                   ,11150,,0,25,UNIDAD,S/ 15.00
COD198,BROCA HSS 3MM,,TRUPER                   ,14127,,0,137,UNIDAD,S/ 2.50
COD199,BROCA HSS 4.5MM,,TRUPER                   ,14133,,0,43,UNIDAD,S/ 3.50
COD200,BROCA HSS 5.5MM,,TRUPER                   ,14148,,0,47,UNIDAD,S/ 5.00
COD201,BROCA HSS 5/16,,TRUPER                   ,11142,,0,39,UNIDAD,S/ 11.00
COD202,BROCA HSS 5/32,,TRUPER                   ,11122,,0,332,UNIDAD,S/ 3.00
COD203,BROCA HSS 5/64,,TRUPER                   ,11112,,0,10,BALDE 5L,S/ 3.00
COD204,BROCA HSS 5/8 AVELLANADOR,,TRUPER                   ,102381,,0,5,UNIDAD,S/ 14.00
COD205,BROCA HSS 5/8 REDUC.1/2,,TRUPER                   ,11170,,0,9,UNIDAD,S/ 50.00
COD206,BROCA HSS 5PCS,,TRUPER                   ,11394,,0,7,JUEGO,S/ 16.00
COD207,BROCA HSS 7.5MM,,TRUPER                   ,14154,,0,38,UNIDAD,S/ 9.00
COD208,BROCA HSS 7/16 EXPERT,,TRUPER                   ,11158,,0,38,UNIDAD,S/ 24.00
COD209,BROCA HSS 7/64 (2.8MM),,TRUPER                   ,11116,,0,98,UNIDAD,S/ 2.50
COD210,BROCA HSS 7/8 REDUCCION 1/2,,TRUPER                   ,11174,,0,4,UNIDAD,S/ 78.00
COD211,BROCA HSS 7PCS M2,,TRUPER                   ,11396,,0,1,JUEGO,S/ 30.00
COD212,BROCA HSS 8.5MM,,TRUPER                   ,14179,,0,34,UNIDAD,S/ 12.00
COD213,BROCA HSS 9/16 REDUC 1/2,,TRUPER                   ,11168,,0,5,UNIDAD,S/ 47.00
COD214,BROCA HSS 9/64 ACERO ALTA VELOCIDAD,,TRUPER                   ,11120,,0,12,UNIDAD,S/ 3.00
COD215,BROCA HSS Y CONCRETO 11PCS,,TRUPER                   ,11335,,0,0,JUEGO,S/ 35.00
COD216,BROCA PALETA 1,,TRUPER                   ,11384,,0,8,UNIDAD,S/ 8.00
COD217,BROCA PALETA 1 1/2,,TRUPER                   ,11393,,0,3,UNIDAD,S/ 11.00
COD218,BROCA PALETA 1 1/4 - 31.7MM,,TRUPER                   ,11390,,0,12,UNIDAD,S/ 9.00
COD219,BROCA PALETA 1 1/8,,TRUPER                   ,11387,,0,8,UNIDAD,S/ 8.00
COD220,BROCA PALETA 1/2,,TRUPER                   ,11372,,0,14,UNIDAD,S/ 6.00
COD221,BROCA PALETA 1/4,,TRUPER                   ,11360,,0,6,UNIDAD,S/ 6.00
COD222,BROCA PALETA 3/4,,TRUPER                   ,11378,,0,10,UNIDAD,S/ 6.00
COD223,BROCA PALETA 3/8,,TRUPER                   ,11366,,0,2,UNIDAD,S/ 6.00
COD224,BROCA PALETA 5/16,,TRUPER                   ,11363,,0,9,UNIDAD,S/ 6.00
COD225,BROCA PALETA 5/8,,TRUPER                   ,11375,,0,16,UNIDAD,S/ 6.00
COD226,BROCA PALETA 6PCS,,TRUPER                   ,11395,,0,7,JUEGO,S/ 33.00
COD227,BROCA PALETA 7/16,,TRUPER                   ,11369,,0,15,UNIDAD,S/ 7.00
COD228,BROCA PALETA 7/8,,TRUPER                   ,11381,,0,15,UNIDAD,S/ 7.00
COD229,BROCA PARA CONCRETO 1.,,TRUPER                   ,11254,,0,8,UNIDAD,S/ 32.00
COD230,BROCA PARA CONCRETO 1/2,,TRUPER                   ,11233,,0,1,UNIDAD,S/ 10.50
COD231,BROCA PARA CONCRETO 1/2X6,,TRUPER                   ,11230,,0,53,UNIDAD,S/ 7.00
COD232,BROCA PARA CONCRETO 1/4X4,,TRUPER                   ,11203,,0,4,UNIDAD,S/ 3.50
COD233,BROCA PARA CONCRETO 1/4X6,,TRUPER                   ,11206,,0,95,UNIDAD,S/ 4.00
COD234,BROCA PARA CONCRETO 3/16,,TRUPER                   ,11200,,0,48,UNIDAD,S/ 3.00
COD235,BROCA PARA CONCRETO 3/16X6,,TRUPER                   ,11258,,0,0,UNIDAD,S/ 4.00
COD236,BROCA PARA CONCRETO 3/4X6,,TRUPER                   ,11242,,0,3,UNIDAD,S/ 17.00
COD237,BROCA PARA CONCRETO 3/8X12,,TRUPER                   ,11227,,0,1,UNIDAD,S/ 8.00
COD238,BROCA PARA CONCRETO 3/8X5,,TRUPER                   ,11221,,0,84,UNIDAD,S/ 6.00
